PC,E,TargetChunk,rho
1,4.0,Error,Simplex() got an unexpected keyword argument 'numThreads'
2,8.0,Error,Simplex() got an unexpected keyword argument 'numThreads'
3,6.0,Error,Simplex() got an unexpected keyword argument 'numThreads'
4,8.0,Error,Simplex() got an unexpected keyword argument 'numThreads'
5,4.0,Error,Simplex() got an unexpected keyword argument 'numThreads'
6,9.0,Error,Simplex() got an unexpected keyword argument 'numThreads'
7,10.0,Error,Simplex() got an unexpected keyword argument 'numThreads'
8,8.0,Error,Simplex() got an unexpected keyword argument 'numThreads'
9,14.0,Error,Simplex() got an unexpected keyword argument 'numThreads'
10,9.0,Error,Simplex() got an unexpected keyword argument 'numThreads'
